Sequence_Number,Count_Time_MS,Timestamp,YouTube_URL
1,1029079.0980731781,17:09,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=1029
2,1282723.721306061,21:22,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=1282
3,1588228.362196796,26:28,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=1588
4,1859751.41392138,30:59,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=1859
5,2154424.996808923,35:54,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=2154
6,2458319.376924657,40:58,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=2458
7,2740632.066625496,45:40,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=2740
8,2997032.484413271,49:57,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=2997
9,3230440.98390051,53:50,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=3230
10,3488257.631437172,58:08,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=3488
11,3712977.6822328055,61:52,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=3712
12,3992675.3003214085,66:32,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=3992
13,4268821.168929432,71:08,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=4268
14,4520046.005452689,75:20,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=4520
15,4768849.388019296,79:28,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=4768
16,5003474.419093864,83:23,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=5003
17,5248315.271669336,87:28,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=5248
18,6170317.216392253,102:50,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=6170
19,6490057.930459092,108:10,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=6490
20,6704345.359143937,111:44,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=6704
21,6964691.981838459,116:04,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=6964
22,7194545.461416956,119:54,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=7194
23,7503810.344858571,125:03,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=7503
24,8795471.884561442,146:35,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=8795
25,9052822.499178397,150:52,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=9052
26,9336455.230809277,155:36,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=9336
27,9640432.347717188,160:40,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=9640
28,9902868.689545661,165:02,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=9902
29,10177502.932371676,169:37,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=10177
30,10648557.407976633,177:28,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=10648
31,10905393.740629992,181:45,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=10905
32,11141901.728067474,185:41,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=11141
33,11384555.359691719,189:44,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=11384
34,11617084.160243547,193:37,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=11617
35,11905903.139611036,198:25,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=11905
36,12001930.274644073,200:01,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=12001
37,12299930.194431864,204:59,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=12299
38,12650727.39410965,210:50,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=12650
39,12917268.067856826,215:17,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=12917
40,13140644.787762905,219:00,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=13140
41,13487639.800457262,224:47,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=13487
42,13768222.83140816,229:28,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=13768
43,14073688.017537603,234:33,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=14073
44,14429122.712412953,240:29,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=14429
45,15108928.892867709,251:48,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=15108
46,15550673.07753618,259:10,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=15550
47,15846526.961296897,264:06,https://www.youtube.com/watch?v=MSoaNUMg2yo&t=15846
