PATTERN ENHANCED DETECTOR - DETAILED RESULTS
============================================================

Detection Method: COUNT→GO Temporal Pattern Matching
COUNT Template: templates/count.mp3
GO Template: templates/go.mp3
Pattern Gap Range: 2.0-10.0 seconds
Total Patterns Found: 47

DETECTED PATTERNS:
------------------------------------------------------------
No.  COUNT Time    GO Time      Gap    Start (mm:ss)
------------------------------------------------------------
 1   17:09.079  17:13.291   4.2s  17:09.079
 2   21:22.724  21:26.115   3.4s  21:22.724
 3   26:28.228  26:31.558   3.3s  26:28.228
 4   30:59.751  31:03.269   3.5s  30:59.751
 5   35:54.425  35:59.277   4.9s  35:54.425
 6   40:58.319  41:01.652   3.3s  40:58.319
 7   45:40.632  45:45.210   4.6s  45:40.632
 8   49:57.032  50:00.094   3.1s  49:57.032
 9   53:50.441  53:53.732   3.3s  53:50.441
10   58:08.258  58:12.348   4.1s  58:08.258
11   61:52.978  61:56.547   3.6s  61:52.978
12   66:32.675  66:36.019   3.3s  66:32.675
13   71:08.821  71:12.772   4.0s  71:08.821
14   75:20.046  75:23.858   3.8s  75:20.046
15   79:28.849  79:34.183   5.3s  79:28.849
16   83:23.474  83:26.766   3.3s  83:23.474
17   87:28.315  87:33.242   4.9s  87:28.315
18   102:50.317  102:52.793   2.5s  102:50.317
19   108:10.058  108:13.646   3.6s  108:10.058
20   111:44.345  111:47.764   3.4s  111:44.345
21   116:04.692  116:09.301   4.6s  116:04.692
22   119:54.545  119:59.054   4.5s  119:54.545
23   125:03.810  125:08.827   5.0s  125:03.810
24   146:35.472  146:38.506   3.0s  146:35.472
25   150:52.822  150:57.177   4.4s  150:52.822
26   155:36.455  155:40.924   4.5s  155:36.455
27   160:40.432  160:42.905   2.5s  160:40.432
28   165:02.869  165:06.670   3.8s  165:02.869
29   169:37.503  169:42.319   4.8s  169:37.503
30   177:28.557  177:32.838   4.3s  177:28.557
31   181:45.394  181:50.847   5.5s  181:45.394
32   185:41.902  185:44.997   3.1s  185:41.902
33   189:44.555  189:47.335   2.8s  189:44.555
34   193:37.084  193:41.896   4.8s  193:37.084
35   198:25.903  198:28.556   2.7s  198:25.903
36   200:01.930  200:10.329   8.4s  200:01.930
37   204:59.930  205:03.669   3.7s  204:59.930
38   210:50.727  210:55.185   4.5s  210:50.727
39   215:17.268  215:22.112   4.8s  215:17.268
40   219:00.645  219:05.866   5.2s  219:00.645
41   224:47.640  224:50.659   3.0s  224:47.640
42   229:28.223  229:32.061   3.8s  229:28.223
43   234:33.688  234:37.305   3.6s  234:33.688
44   240:29.123  240:35.791   6.7s  240:29.123
45   251:48.929  251:53.240   4.3s  251:48.929
46   259:10.673  259:15.003   4.3s  259:10.673
47   264:06.527  264:09.973   3.4s  264:06.527

------------------------------------------------------------
Pattern Enhanced Detector v1.0
Temporal sequence analysis for race start detection
