Sequence_Number,Count_Time_MS,Timestamp,YouTube_URL
1,526996.1259154944,08:46,https://www.youtube.com/live/Z7sjETGD-dg?t=526
2,592486.7365901228,09:52,https://www.youtube.com/live/Z7sjETGD-dg?t=592
3,877388.7026198382,14:37,https://www.youtube.com/live/Z7sjETGD-dg?t=877
4,1161107.1216278467,19:21,https://www.youtube.com/live/Z7sjETGD-dg?t=1161
5,1645596.7072485867,27:25,https://www.youtube.com/live/Z7sjETGD-dg?t=1645
6,1916054.9644985055,31:56,https://www.youtube.com/live/Z7sjETGD-dg?t=1916
7,2167319.896751256,36:07,https://www.youtube.com/live/Z7sjETGD-dg?t=2167
8,2510328.823358165,41:50,https://www.youtube.com/live/Z7sjETGD-dg?t=2510
9,2806472.846280043,46:46,https://www.youtube.com/live/Z7sjETGD-dg?t=2806
10,3132428.0621336233,52:12,https://www.youtube.com/live/Z7sjETGD-dg?t=3132
11,3507909.5236641113,58:27,https://www.youtube.com/live/Z7sjETGD-dg?t=3507
12,3745025.4681269936,62:25,https://www.youtube.com/live/Z7sjETGD-dg?t=3745
13,3977301.047814651,66:17,https://www.youtube.com/live/Z7sjETGD-dg?t=3977
14,4234385.764074764,70:34,https://www.youtube.com/live/Z7sjETGD-dg?t=4234
15,5345721.43280541,89:05,https://www.youtube.com/live/Z7sjETGD-dg?t=5345
16,5633578.591937723,93:53,https://www.youtube.com/live/Z7sjETGD-dg?t=5633
17,5962883.715653966,99:22,https://www.youtube.com/live/Z7sjETGD-dg?t=5962
18,6185860.713411866,103:05,https://www.youtube.com/live/Z7sjETGD-dg?t=6185
19,6751718.672619565,112:31,https://www.youtube.com/live/Z7sjETGD-dg?t=6751
20,7373848.351698038,122:53,https://www.youtube.com/live/Z7sjETGD-dg?t=7373
21,7497040.715077933,124:57,https://www.youtube.com/live/Z7sjETGD-dg?t=7497
22,7869535.541702446,131:09,https://www.youtube.com/live/Z7sjETGD-dg?t=7869
23,7910631.494063563,131:50,https://www.youtube.com/live/Z7sjETGD-dg?t=7910
